tumor_suppressor_genes,oncogenes,protein_kinases,cell_differentiation_markers,transcription_factors,cytokines_and_growth_factors
,,,,cg12806763,
,,,,cg24114154,
,,,,cg19081437,
,,,,cg02422694,
,,,,cg04609859,
,,,,cg13789775,
,,,,cg09194159,
,,,,cg07015911,
,,,,cg08089301,
,,,,cg15565065,
,,,,cg14458834,
,,,,cg21546671,
,,,,cg07438617,
,,,,cg25145670,
,,,,cg19710451,
,,,,cg11971423,
,,,,cg10585948,
,,,,cg02836478,
,,,,cg11060532,
,,,,cg13280788,
,,,,cg24963001,
,,,,cg24767968,
,,,,cg00842549,
,,,,cg13293524,
,,,,cg24761525,
,,,,cg12910797,
,,,,cg22053945,
,,,,cg06395298,
,,,,cg10165801,
,,,,cg00524443,
,,,,cg06186155,
,,,,cg04800503,
,,,,cg23014425,
,,,,cg01593673,
,,,,cg01990102,
,,,,cg02749463,
,,,,cg19104015,
,,,,cg07850987,
,,,,cg11862714,
,,,,cg25032089,
,,,,cg05323879,
,,,,cg01629240,
,,,,cg03602288,
,,,,cg13479204,
,,,,cg20152430,
,,,,cg09952002,
,,,,cg12570134,
,,,,cg23507953,
,,,,cg24241823,
,,,,cg23551720,
,,,,cg24095592,
,,,,cg15255390,
,,,,cg21474786,
,,,,cg21399057,
,,,,cg21872782,
,,,,cg05387167,
,,,,cg02458062,
,,,,cg16787431,
,,,,cg02873421,
,,,,cg15065049,
,,,,cg03019986,
,,,,cg21853871,
,,,,cg17616537,
,,,,cg27656658,
,,,,cg19986012,
,,,,cg03453744,
,,,,cg13187349,
,,,,cg25255850,
,,,,cg02494572,
,,,,cg01882880,
,,,,cg17573933,
,,,,cg19474833,
,,,,cg10381440,
,,,,cg06942183,
,,,,cg23530553,
,,,,cg22807449,
,,,,cg22777724,
,,,,cg09313705,
,,,,cg26841048,
,,,,cg25882366,
,,,,cg10788618,
,,,,cg17807663,
,,,,cg12121660,
,,,,cg22703115,
,,,,cg02816923,
,,,,cg18416950,
,,,,cg09328349,
,,,,cg19047660,
,,,,cg20401567,
,,,,cg11955385,
,,,,cg21780393,
,,,,cg20811755,
,,,,cg23326728,
,,,,cg22502153,
,,,,cg07547765,
,,,,cg23669081,
,,,,cg18773260,
,,,,cg14698646,
,,,,cg25750507,
,,,,cg07318128,
,,,,cg20591728,
,,,,cg18878432,
,,,,cg04435975,
,,,,cg02574073,
,,,,cg18684142,
,,,,cg10906729,
,,,,cg05888755,
,,,,cg16848873,
,,,,cg03803541,
,,,,cg20471691,
,,,,cg01986016,
,,,,cg15435170,
,,,,cg00072689,
,,,,cg01723934,
,,,,cg21387752,
,,,,cg21816532,
,,,,cg09983216,
,,,,cg02566861,
,,,,cg14509967,
,,,,cg24889708,
,,,,cg05490023,
,,,,cg23217463,
,,,,cg08832695,
,,,,cg15908709,
,,,,cg01324550,
,,,,cg11850549,
,,,,cg02086493,
,,,,cg05332887,
,,,,cg11352083,
,,,,cg26279336,
,,,,cg01774894,
,,,,cg25931385,
,,,,cg03212952,
,,,,cg25882785,
,,,,cg00267596,
,,,,cg02294649,
,,,,cg16636522,
,,,,cg20454400,
,,,,cg20651616,
,,,,cg08012521,
,,,,cg16320249,
,,,,cg08362273,
,,,,cg22471726,
,,,,cg01569440,
,,,,cg10165209,
,,,,cg04010091,
,,,,cg01469027,
,,,,cg13769834,
,,,,cg04353251,
,,,,cg01132893,
,,,,cg02462868,
,,,,cg22851691,
,,,,cg01452847,
,,,,cg04735310,
,,,,cg26608174,
,,,,cg23690166,
,,,,cg02329038,
,,,,cg10432569,
,,,,cg10055580,
,,,,cg11199172,
,,,,cg26349474,
,,,,cg20710730,
,,,,cg14240300,
,,,,cg06755555,
,,,,cg24042517,
,,,,cg13643585,
,,,,cg17611765,
,,,,cg18228282,
,,,,cg03697136,
,,,,cg03218689,
,,,,cg10633363,
,,,,cg12370791,
,,,,cg00135852,
,,,,cg21932255,
,,,,cg14438019,
,,,,cg00846995,
,,,,cg07048527,
,,,,cg12057127,
,,,,cg04917446,
,,,,cg23245942,
,,,,cg15117739,
,,,,cg25078137,
,,,,cg05046306,
,,,,cg17873048,
,,,,cg27217474,
,,,,cg19051015,
,,,,cg23349301,
,,,,cg11916219,
,,,,cg25526913,
,,,,cg19955318,
,,,,cg04738279,
,,,,cg06593406,
,,,,cg22160112,
,,,,cg22311200,
,,,,cg21877220,
,,,,cg27656949,
,,,,cg12878824,
,,,,cg06602723,
,,,,cg05999049,
,,,,cg14237746,
,,,,cg03107393,
,,,,cg25928579,
,,,,cg27294582,
,,,,cg25116388,
,,,,cg10505324,
,,,,cg27464311,
,,,,cg15539420,
,,,,cg22913933,
,,,,cg04453140,
,,,,cg06760710,
,,,,cg08151857,
,,,,cg21476673,
,,,,cg17046890,
,,,,cg23434413,
,,,,cg24868134,
,,,,cg25489169,
,,,,cg10232654,
,,,,cg23730436,
,,,,cg22291922,
,,,,cg24712277,
,,,,cg09357097,
,,,,cg17468987,
,,,,cg09998632,
,,,,cg11149743,
,,,,cg24973150,
,,,,cg20510845,
,,,,cg17584085,
,,,,cg06856188,
,,,,cg06493080,
,,,,cg21564235,
,,,,cg02928991,
,,,,cg07676709,
,,,,cg21864868,
,,,,cg00682096,
,,,,cg18127922,
,,,,cg20184247,
,,,,cg05487507,
,,,,cg01405107,
,,,,cg14126688,
,,,,cg24626312,
,,,,cg02293936,
,,,,cg10153335,
,,,,cg02712075,
,,,,cg11155697,
,,,,cg06384413,
,,,,cg06266993,
,,,,cg05085809,
,,,,cg03809346,
,,,,cg16495265,
,,,,cg05992357,
,,,,cg11739758,
,,,,cg08189801,
,,,,cg17062109,
,,,,cg24210813,
,,,,cg00690402,
,,,,cg12744859,
,,,,cg19047868,
,,,,cg05555337,
,,,,cg00646731,
,,,,cg22660299,
,,,,cg09595185,
,,,,cg25960038,
,,,,cg01351315,
,,,,cg21242356,
,,,,cg10588962,
,,,,cg09704116,
,,,,cg02642822,
,,,,cg13609544,
,,,,cg20490001,
,,,,cg20245757,
,,,,cg12131828,
,,,,cg16030119,
,,,,cg24908413,
,,,,cg24005457,
,,,,cg04099180,
,,,,cg22266211,
,,,,cg00411072,
,,,,cg02311193,
,,,,cg21082028,
,,,,cg22005990,
,,,,cg03386144,
,,,,cg24672833,
,,,,cg14285150,
,,,,cg04514255,
,,,,cg14884929,
,,,,cg01572694,
,,,,cg15649236,
,,,,cg26916621,
,,,,cg26072749,
,,,,cg02132714,
,,,,cg17144149,
,,,,cg05527785,
,,,,cg22660147,
,,,,cg21460081,
,,,,cg12806763,
,,,,cg24114154,
,,,,cg19081437,
,,,,cg02422694,
,,,,cg04609859,
,,,,cg13789775,
,,,,cg09194159,
,,,,cg07015911,
,,,,cg08089301,
,,,,cg15565065,
,,,,cg14458834,
,,,,cg21546671,
,,,,cg07438617,
,,,,cg25145670,
,,,,cg19710451,
,,,,cg11971423,
,,,,cg10585948,
,,,,cg02836478,
,,,,cg11060532,
,,,,cg13280788,
,,,,cg24963001,
,,,,cg24767968,
,,,,cg00842549,
,,,,cg13293524,
,,,,cg24761525,
,,,,cg12910797,
,,,,cg22053945,
,,,,cg06395298,
,,,,cg10165801,
,,,,cg00524443,
,,,,cg06186155,
,,,,cg04800503,
,,,,cg23014425,
,,,,cg01593673,
,,,,cg01990102,
,,,,cg02749463,
,,,,cg19104015,
,,,,cg07850987,
,,,,cg11862714,
,,,,cg25032089,
,,,,cg05323879,
,,,,cg01629240,
,,,,cg03602288,
,,,,cg13479204,
,,,,cg20152430,
,,,,cg09952002,
,,,,cg12570134,
,,,,cg23507953,
,,,,cg24241823,
,,,,cg23551720,
,,,,cg24095592,
,,,,cg15255390,
,,,,cg21474786,
,,,,cg21399057,
,,,,cg21872782,
,,,,cg05387167,
,,,,cg02458062,
,,,,cg16787431,
,,,,cg02873421,
,,,,cg15065049,
,,,,cg03019986,
,,,,cg21853871,
,,,,cg17616537,
,,,,cg27656658,
,,,,cg19986012,
,,,,cg03453744,
,,,,cg13187349,
,,,,cg25255850,
,,,,cg02494572,
,,,,cg01882880,
,,,,cg17573933,
,,,,cg19474833,
,,,,cg10381440,
,,,,cg23326728,
,,,,cg22502153,
,,,,cg07547765,
,,,,cg23669081,
,,,,cg18773260,
,,,,cg14698646,
,,,,cg25750507,
,,,,cg07318128,
,,,,cg20591728,
,,,,cg18878432,
,,,,cg04435975,
,,,,cg02574073,
,,,,cg18684142,
,,,,cg10906729,
,,,,cg05888755,
,,,,cg16848873,
,,,,cg03803541,
,,,,cg20471691,
,,,,cg01986016,
,,,,cg15435170,
,,,,cg00072689,
,,,,cg01723934,
,,,,cg21387752,
,,,,cg21816532,
,,,,cg09983216,
,,,,cg02566861,
,,,,cg14509967,
,,,,cg24889708,
,,,,cg05490023,
,,,,cg23217463,
,,,,cg08832695,
,,,,cg15908709,
,,,,cg01324550,
,,,,cg11850549,
,,,,cg02086493,
,,,,cg05332887,
,,,,cg11352083,
,,,,cg26279336,
,,,,cg01774894,
,,,,cg25931385,
,,,,cg03212952,
,,,,cg25882785,
,,,,cg00267596,
,,,,cg02294649,
,,,,cg16636522,
,,,,cg20454400,
,,,,cg20651616,
,,,,cg08012521,
,,,,cg16320249,
,,,,cg08362273,
,,,,cg22471726,
,,,,cg01569440,
,,,,cg10165209,
,,,,cg04010091,
,,,,cg01469027,
,,,,cg13769834,
,,,,cg04353251,
,,,,cg01132893,
,,,,cg02462868,
,,,,cg22851691,
,,,,cg01452847,
,,,,cg04735310,
,,,,cg26608174,
,,,,cg23690166,
,,,,cg02329038,
,,,,cg10432569,
,,,,cg10055580,
,,,,cg11199172,
,,,,cg26349474,
,,,,cg20710730,
,,,,cg14240300,
,,,,cg06755555,
,,,,cg24042517,
,,,,cg13643585,
,,,,cg17611765,
,,,,cg18228282,
,,,,cg03697136,
,,,,cg03218689,
,,,,cg10633363,
,,,,cg12370791,
,,,,cg00135852,
,,,,cg21932255,
,,,,cg14438019,
,,,,cg00846995,
,,,,cg07048527,
,,,,cg12057127,
,,,,cg04917446,
,,,,cg23245942,
,,,,cg15117739,
,,,,cg25078137,
,,,,cg05046306,
,,,,cg17873048,
,,,,cg27217474,
,,,,cg19051015,
,,,,cg23349301,
,,,,cg11916219,
,,,,cg25526913,
,,,,cg19955318,
,,,,cg04738279,
,,,,cg06593406,
,,,,cg22160112,
,,,,cg22311200,
,,,,cg21877220,
,,,,cg27656949,
,,,,cg12878824,
,,,,cg06602723,
,,,,cg05999049,
,,,,cg14237746,
,,,,cg03107393,
,,,,cg25928579,
,,,,cg27294582,
,,,,cg25116388,
,,,,cg10505324,
,,,,cg27464311,
,,,,cg15539420,
,,,,cg22913933,
,,,,cg04453140,
,,,,cg06760710,
,,,,cg08151857,
,,,,cg21476673,
,,,,cg17046890,
,,,,cg23434413,
,,,,cg24868134,
,,,,cg25489169,
,,,,cg10232654,
,,,,cg23730436,
,,,,cg22291922,
,,,,cg24712277,
,,,,cg09357097,
,,,,cg17468987,
,,,,cg09998632,
,,,,cg11149743,
,,,,cg24973150,
,,,,cg20510845,
,,,,cg17584085,
,,,,cg06856188,
,,,,cg06493080,
,,,,cg21564235,
,,,,cg02928991,
,,,,cg07676709,
,,,,cg21864868,
,,,,cg00682096,
,,,,cg18127922,
,,,,cg20184247,
,,,,cg05487507,
,,,,cg01405107,
,,,,cg14126688,
,,,,cg24626312,
,,,,cg02293936,
,,,,cg10153335,
,,,,cg02712075,
,,,,cg11155697,
,,,,cg06384413,
,,,,cg06266993,
,,,,cg05085809,
,,,,cg03809346,
,,,,cg16495265,
,,,,cg05992357,
,,,,cg11739758,
,,,,cg08189801,
,,,,cg17062109,
,,,,cg24210813,
,,,,cg00690402,
,,,,cg12744859,
,,,,cg19047868,
,,,,cg05555337,
,,,,cg00646731,
,,,,cg22660299,
,,,,cg09595185,
,,,,cg25960038,
,,,,cg01351315,
,,,,cg21242356,
,,,,cg10588962,
,,,,cg09704116,
,,,,cg02642822,
,,,,cg13609544,
,,,,cg20490001,
,,,,cg20245757,
,,,,cg12131828,
,,,,cg16030119,
,,,,cg24908413,
,,,,cg24005457,
,,,,cg04099180,
,,,,cg22266211,
,,,,cg00411072,
,,,,cg02311193,
,,,,cg21082028,
,,,,cg22005990,
,,,,cg03386144,
,,,,cg24672833,
,,,,cg14285150,
,,,,cg04514255,
,,,,cg14884929,
,,,,cg01572694,
,,,,cg15649236,
,,,,cg26916621,
,,,,cg26072749,
,,,,cg02132714,
,,,,cg17144149,
,,,,cg05527785,
,,,,cg22660147,
,,,,cg21460081,
,,,,cg12806763,
,,,,cg24114154,
,,,,cg19081437,
,,,,cg02422694,
,,,,cg04609859,
,,,,cg13789775,
,,,,cg09194159,
,,,,cg07015911,
,,,,cg08089301,
,,,,cg15565065,
,,,,cg14458834,
,,,,cg21546671,
,,,,cg07438617,
,,,,cg25145670,
,,,,cg19710451,
,,,,cg11971423,
,,,,cg10585948,
,,,,cg02836478,
,,,,cg11060532,
,,,,cg13280788,
,,,,cg24963001,
,,,,cg24767968,
,,,,cg00842549,
,,,,cg13293524,
,,,,cg24761525,
,,,,cg12910797,
,,,,cg22053945,
,,,,cg06395298,
,,,,cg10165801,
,,,,cg00524443,
,,,,cg06186155,
,,,,cg04800503,
,,,,cg23014425,
,,,,cg01593673,
,,,,cg01990102,
,,,,cg02749463,
,,,,cg19104015,
,,,,cg07850987,
,,,,cg11862714,
,,,,cg25032089,
,,,,cg05323879,
,,,,cg01629240,
,,,,cg03602288,
,,,,cg13479204,
,,,,cg20152430,
,,,,cg09952002,
,,,,cg12570134,
,,,,cg23507953,
,,,,cg24241823,
,,,,cg23551720,
,,,,cg24095592,
,,,,cg15255390,
,,,,cg21474786,
,,,,cg21399057,
,,,,cg21872782,
,,,,cg05387167,
,,,,cg02458062,
,,,,cg16787431,
,,,,cg02873421,
,,,,cg15065049,
,,,,cg03019986,
,,,,cg21853871,
,,,,cg17616537,
,,,,cg27656658,
,,,,cg19986012,
,,,,cg03453744,
,,,,cg13187349,
,,,,cg25255850,
,,,,cg04588562,
,,,,cg24016054,
,,,,cg25552172,
,,,,cg16115867,
,,,,cg16654603,
,,,,cg23326728,
,,,,cg22502153,
,,,,cg07547765,
,,,,cg23669081,
,,,,cg18773260,
,,,,cg14698646,
,,,,cg25750507,
,,,,cg07318128,
,,,,cg20591728,
,,,,cg18878432,
,,,,cg04435975,
,,,,cg02574073,
,,,,cg18684142,
,,,,cg10906729,
,,,,cg05888755,
,,,,cg16848873,
,,,,cg03803541,
,,,,cg20471691,
,,,,cg01986016,
,,,,cg15435170,
,,,,cg00072689,
,,,,cg01723934,
,,,,cg21387752,
,,,,cg21816532,
,,,,cg09983216,
,,,,cg02566861,
,,,,cg14509967,
,,,,cg24889708,
,,,,cg05490023,
,,,,cg23217463,
,,,,cg08832695,
,,,,cg15908709,
,,,,cg01324550,
,,,,cg11850549,
,,,,cg02086493,
,,,,cg05332887,
,,,,cg11352083,
,,,,cg26279336,
,,,,cg01774894,
,,,,cg25931385,
,,,,cg03212952,
,,,,cg25882785,
,,,,cg00267596,
,,,,cg02294649,
,,,,cg16636522,
,,,,cg20454400,
,,,,cg20651616,
,,,,cg08012521,
,,,,cg16320249,
,,,,cg08362273,
,,,,cg22471726,
,,,,cg01569440,
,,,,cg10165209,
,,,,cg04010091,
,,,,cg01469027,
,,,,cg13769834,
,,,,cg04353251,
,,,,cg01132893,
,,,,cg02462868,
,,,,cg22851691,
,,,,cg01452847,
,,,,cg04735310,
,,,,cg26608174,
,,,,cg23690166,
,,,,cg02329038,
,,,,cg10432569,
,,,,cg10055580,
,,,,cg11199172,
,,,,cg26349474,
,,,,cg20710730,
,,,,cg14240300,
,,,,cg06755555,
,,,,cg24042517,
,,,,cg13643585,
,,,,cg17611765,
,,,,cg18228282,
,,,,cg03697136,
,,,,cg03218689,
,,,,cg10633363,
,,,,cg12370791,
,,,,cg00135852,
,,,,cg21932255,
,,,,cg14438019,
,,,,cg00846995,
,,,,cg07048527,
,,,,cg12057127,
,,,,cg04917446,
,,,,cg23245942,
,,,,cg15117739,
,,,,cg25078137,
,,,,cg05046306,
,,,,cg17873048,
,,,,cg27217474,
,,,,cg19051015,
,,,,cg23349301,
,,,,cg11916219,
,,,,cg25526913,
,,,,cg19955318,
,,,,cg04738279,
,,,,cg06593406,
,,,,cg22160112,
,,,,cg22311200,
,,,,cg21877220,
,,,,cg27656949,
,,,,cg12878824,
,,,,cg06602723,
,,,,cg05999049,
,,,,cg14237746,
,,,,cg03107393,
,,,,cg25928579,
,,,,cg27294582,
,,,,cg25116388,
,,,,cg10505324,
,,,,cg27464311,
,,,,cg15539420,
,,,,cg22913933,
,,,,cg04453140,
,,,,cg06760710,
,,,,cg08151857,
,,,,cg21476673,
,,,,cg17046890,
,,,,cg23434413,
,,,,cg24868134,
,,,,cg25489169,
,,,,cg10232654,
,,,,cg23730436,
,,,,cg22291922,
,,,,cg24712277,
,,,,cg09357097,
,,,,cg17468987,
,,,,cg09998632,
,,,,cg11149743,
,,,,cg24973150,
,,,,cg20510845,
,,,,cg17584085,
,,,,cg06856188,
,,,,cg06493080,
,,,,cg21564235,
,,,,cg02928991,
,,,,cg07676709,
,,,,cg21864868,
,,,,cg00682096,
,,,,cg18127922,
,,,,cg20184247,
,,,,cg05487507,
,,,,cg01405107,
,,,,cg14126688,
,,,,cg24626312,
,,,,cg02293936,
,,,,cg10153335,
,,,,cg02712075,
,,,,cg11155697,
,,,,cg06384413,
,,,,cg06266993,
,,,,cg05085809,
,,,,cg03809346,
,,,,cg16495265,
,,,,cg05992357,
,,,,cg11739758,
,,,,cg08189801,
,,,,cg17062109,
,,,,cg24210813,
,,,,cg00690402,
,,,,cg12744859,
,,,,cg19047868,
,,,,cg05555337,
,,,,cg00646731,
,,,,cg22660299,
,,,,cg09595185,
,,,,cg25960038,
,,,,cg01351315,
,,,,cg21242356,
,,,,cg10588962,
,,,,cg09704116,
,,,,cg02642822,
,,,,cg13609544,
,,,,cg20490001,
,,,,cg20245757,
,,,,cg12131828,
,,,,cg16030119,
,,,,cg24908413,
,,,,cg24005457,
,,,,cg04099180,
,,,,cg22266211,
,,,,cg00411072,
,,,,cg02311193,
,,,,cg21082028,
,,,,cg22005990,
,,,,cg03386144,
,,,,cg24672833,
,,,,cg14285150,
,,,,cg04514255,
,,,,cg14884929,
,,,,cg01572694,
,,,,cg15649236,
,,,,cg26916621,
,,,,cg26072749,
,,,,cg02132714,
,,,,cg17144149,
,,,,cg05527785,
,,,,cg22660147,
,,,,cg21460081,
,,,,cg12806763,
,,,,cg24114154,
,,,,cg19081437,
,,,,cg02422694,
,,,,cg04609859,
,,,,cg13789775,
,,,,cg09194159,
,,,,cg07015911,
,,,,cg08089301,
,,,,cg15565065,
,,,,cg14458834,
,,,,cg21546671,
,,,,cg07438617,
,,,,cg25145670,
,,,,cg19710451,
,,,,cg11971423,
,,,,cg10585948,
,,,,cg02836478,
,,,,cg11060532,
,,,,cg13280788,
,,,,cg24963001,
,,,,cg24767968,
,,,,cg00842549,
,,,,cg13293524,
,,,,cg24761525,
,,,,cg12910797,
,,,,cg22053945,
,,,,cg06395298,
,,,,cg10165801,
,,,,cg00524443,
,,,,cg06186155,
,,,,cg04800503,
,,,,cg23014425,
,,,,cg01593673,
,,,,cg01990102,
,,,,cg02749463,
,,,,cg19104015,
,,,,cg07850987,
,,,,cg11862714,
,,,,cg25032089,
,,,,cg05323879,
,,,,cg01629240,
,,,,cg03602288,
,,,,cg13479204,
,,,,cg20152430,
,,,,cg09952002,
,,,,cg12570134,
,,,,cg23507953,
,,,,cg02794696,
,,,,cg04588562,
,,,,cg24016054,
,,,,cg25552172,
,,,,cg16115867,
,,,,cg16654603,
,,,,cg23326728,
,,,,cg22502153,
,,,,cg07547765,
,,,,cg23669081,
,,,,cg18773260,
,,,,cg14698646,
,,,,cg25750507,
,,,,cg07318128,
,,,,cg20591728,
,,,,cg18878432,
,,,,cg04435975,
,,,,cg02574073,
,,,,cg18684142,
,,,,cg10906729,
,,,,cg05888755,
,,,,cg16848873,
,,,,cg03803541,
,,,,cg20471691,
,,,,cg01986016,
,,,,cg15435170,
,,,,cg00072689,
,,,,cg01723934,
,,,,cg21387752,
,,,,cg21816532,
,,,,cg09983216,
,,,,cg02566861,
,,,,cg14509967,
,,,,cg24889708,
,,,,cg05490023,
,,,,cg23217463,
,,,,cg08832695,
,,,,cg15908709,
,,,,cg01324550,
,,,,cg11850549,
,,,,cg02086493,
,,,,cg05332887,
,,,,cg11352083,
,,,,cg26279336,
,,,,cg01774894,
,,,,cg25931385,
,,,,cg03212952,
,,,,cg25882785,
,,,,cg00267596,
,,,,cg02294649,
,,,,cg16636522,
,,,,cg20454400,
,,,,cg20651616,
,,,,cg08012521,
,,,,cg16320249,
,,,,cg08362273,
,,,,cg22471726,
,,,,cg01569440,
,,,,cg10165209,
,,,,cg04010091,
,,,,cg01469027,
,,,,cg13769834,
,,,,cg04353251,
,,,,cg01132893,
,,,,cg02462868,
,,,,cg22851691,
,,,,cg01452847,
,,,,cg04735310,
,,,,cg26608174,
,,,,cg23690166,
,,,,cg02329038,
,,,,cg10432569,
,,,,cg10055580,
,,,,cg11199172,
,,,,cg26349474,
,,,,cg20710730,
,,,,cg14240300,
,,,,cg06755555,
,,,,cg24042517,
,,,,cg13643585,
,,,,cg17611765,
,,,,cg18228282,
,,,,cg03697136,
,,,,cg03218689,
,,,,cg10633363,
,,,,cg12370791,
,,,,cg00135852,
,,,,cg21932255,
,,,,cg14438019,
,,,,cg00846995,
,,,,cg07048527,
,,,,cg12057127,
,,,,cg04917446,
,,,,cg23245942,
,,,,cg15117739,
,,,,cg25078137,
,,,,cg05046306,
,,,,cg17873048,
,,,,cg27217474,
,,,,cg19051015,
,,,,cg23349301,
,,,,cg11916219,
,,,,cg25526913,
,,,,cg19955318,
,,,,cg04738279,
,,,,cg06593406,
,,,,cg22160112,
,,,,cg22311200,
,,,,cg21877220,
,,,,cg27656949,
,,,,cg12878824,
,,,,cg06602723,
,,,,cg05999049,
,,,,cg14237746,
,,,,cg03107393,
,,,,cg25928579,
,,,,cg27294582,
,,,,cg25116388,
,,,,cg10505324,
,,,,cg27464311,
,,,,cg15539420,
,,,,cg22913933,
,,,,cg04453140,
,,,,cg06760710,
,,,,cg08151857,
,,,,cg21476673,
,,,,cg17046890,
,,,,cg23434413,
,,,,cg24868134,
,,,,cg25489169,
,,,,cg10232654,
,,,,cg23730436,
,,,,cg22291922,
,,,,cg24712277,
,,,,cg09357097,
,,,,cg17468987,
,,,,cg09998632,
,,,,cg11149743,
,,,,cg24973150,
,,,,cg20510845,
,,,,cg17584085,
,,,,cg06856188,
,,,,cg06493080,
,,,,cg21564235,
,,,,cg02928991,
,,,,cg17151054,
,,,,cg21783047,
,,,,cg12374095,
,,,,cg04651603,
,,,,cg08190858,
,,,,cg13604337,
,,,,cg03904876,
,,,,cg03313705,
,,,,cg17410650,
,,,,cg25024717,
,,,,cg06087619,
,,,,cg07731191,
,,,,cg18713028,
,,,,cg04662532,
,,,,cg16110759,
,,,,cg25975689,
,,,,cg04727865,
,,,,cg17085352,
,,,,cg22830707,
,,,,cg20587394,
,,,,cg01577751,
,,,,cg11466369,
,,,,cg26283893,
,,,,cg01839657,
,,,,cg09106624,
,,,,cg10961753,
,,,,cg25671500,
,,,,cg19977966,
,,,,cg16856286,
,,,,cg03972398,
,,,,cg07892422,
,,,,cg25936147,
,,,,cg20959780,
,,,,cg00059246,
,,,,cg23922739,
,,,,cg08803500,
,,,,cg20104341,
,,,,cg04819096,
,,,,cg05771518,
,,,,cg03239552,
,,,,cg02066277,
,,,,cg05951084,
,,,,cg08522676,
,,,,cg00862376,
,,,,cg16871994,
,,,,cg02072366,
,,,,cg16479539,
,,,,cg02387326,
,,,,cg16650901,
,,,,cg21707187,
,,,,cg09973284,
,,,,cg10809166,
,,,,cg25382128,
,,,,cg26953453,
,,,,cg02618300,
,,,,cg19202292,
,,,,cg23063338,
,,,,cg16305379,
,,,,cg23750445,
,,,,cg19928450,
,,,,cg10810799,
,,,,cg05589246,
,,,,cg26931862,
,,,,cg00920572,
,,,,cg08045824,
,,,,cg14212206,
,,,,cg13233461,
,,,,cg06729806,
,,,,cg09210964,
,,,,cg02537491,
,,,,cg08299265,
,,,,cg05573844,
,,,,cg03078269,
,,,,cg26809635,
,,,,cg01524278,
,,,,cg19188855,
,,,,cg22829917,
,,,,cg18040901,
,,,,cg15731655,
,,,,cg06622953,
,,,,cg17573720,
,,,,cg05516489,
,,,,cg10641615,
,,,,cg00079219,
,,,,cg18824990,
,,,,cg16006349,
,,,,cg24895871,
,,,,cg02665037,
,,,,cg20116805,
,,,,cg02371798,
,,,,cg06850442,
,,,,cg00796424,
,,,,cg03762366,
,,,,cg03132556,
,,,,cg08962452,
,,,,cg26386624,
,,,,cg06630413,
,,,,cg22709192,
,,,,cg15830509,
,,,,cg07123069,
,,,,cg03536474,
,,,,cg04203883,
,,,,cg17273416,
,,,,cg13855243,
,,,,cg07035173,
,,,,cg02510471,
,,,,cg23395715,
,,,,cg08857479,
,,,,cg15996644,
,,,,cg08033722,
,,,,cg27178293,
,,,,cg10792302,
,,,,cg06619938,
,,,,cg04032071,
,,,,cg10893278,
,,,,cg20403938,
,,,,cg16898193,
,,,,cg03833604,
,,,,cg04710764,
,,,,cg21623748,
,,,,cg03556393,
,,,,cg08737755,
,,,,cg16253259,
,,,,cg25057269,
,,,,cg08900043,
,,,,cg26153631,
,,,,cg00699029,
,,,,cg02009895,
,,,,cg13615998,
,,,,cg20402783,
,,,,cg22267551,
,,,,cg19310604,
,,,,cg04981737,
,,,,cg06193958,
,,,,cg19898108,
,,,,cg10662314,
,,,,cg05412137,
,,,,cg08053137,
,,,,cg18771937,
,,,,cg14679255,
,,,,cg16400495,
,,,,cg19435724,
,,,,cg18787548,
,,,,cg21841963,
,,,,cg26987376,
,,,,cg04555312,
,,,,cg03654299,
,,,,cg16600991,
,,,,cg07541701,
,,,,cg14639847,
,,,,cg16264616,
,,,,cg19794507,
,,,,cg09941406,
,,,,cg20340866,
,,,,cg09045007,
,,,,cg10587913,
,,,,cg15410411,
,,,,cg09045655,
,,,,cg15819717,
,,,,cg07634179,
,,,,cg26829131,
,,,,cg03122669,
,,,,cg16356837,
,,,,cg01615018,
,,,,cg23828720,
,,,,cg03215137,
,,,,cg13233407,
,,,,cg21272774,
,,,,cg05069426,
,,,,cg12071536,
,,,,cg25456468,
,,,,cg12699286,
,,,,cg24500832,
,,,,cg13357393,
,,,,cg02227188,
,,,,cg23685155,
,,,,cg22679316,
,,,,cg08254359,
,,,,cg21336435,
,,,,cg21837192,
,,,,cg20643952,
,,,,cg12590051,
,,,,cg08355659,
,,,,cg05971894,
,,,,cg03218797,
,,,,cg26643142,
,,,,cg24096964,
,,,,cg03348474,
,,,,cg05951377,
,,,,cg15423035,
,,,,cg09590068,
,,,,cg27613172,
,,,,cg22660542,
,,,,cg14301713,
,,,,cg27482031,
,,,,cg25285794,
,,,,cg07791427,
,,,,cg05643303,
,,,,cg03037150,
,,,,cg25917510,
,,,,cg21726284,
,,,,cg02344911,
,,,,cg05022306,
,,,,cg19634247,
,,,,cg13545297,
,,,,cg16908257,
,,,,cg18540674,
,,,,cg14569644,
,,,,cg21618620,
,,,,cg03078363,
,,,,cg04105511,
,,,,cg26019295,
,,,,cg18040878,
,,,,cg15660418,
,,,,cg01473837,
,,,,cg22621272,
,,,,cg16937769,
,,,,cg04704531,
,,,,cg06714180,
,,,,cg15817960,
,,,,cg13726459,
,,,,cg12905836,
,,,,cg22198132,
,,,,cg14108840,
,,,,cg26162108,
,,,,cg02491017,
,,,,cg01153660,
,,,,cg23047434,
,,,,cg24896860,
,,,,cg04794183,
